;18.02.2022 18:03:56;18.02.2022 16:05:10;18.02.2022 14:06:03;18.02.2022 12:07:28;18.02.2022 10:01:03;18.02.2022 08:02:26;18.02.2022 06:04:18;18.02.2022 04:05:35;18.02.2022 02:06:47;18.02.2022 00:00:15;17.02.2022 22:01:09;17.02.2022 20:02:58;17.02.2022 18:04:51;17.02.2022 16:05:41;17.02.2022 14:07:28;17.02.2022 12:00:22;17.02.2022 10:01:14;17.02.2022 08:02:01;17.02.2022 06:03:40;17.02.2022 04:05:04;17.02.2022 02:05:57;17.02.2022 00:07:12;16.02.2022 22:00:37;16.02.2022 20:02:05;16.02.2022 18:03:00;16.02.2022 16:04:04;16.02.2022 14:06:05;16.02.2022 12:00:17;16.02.2022 10:02:02;16.02.2022 08:03:11;16.02.2022 06:04:53;16.02.2022 04:06:09;16.02.2022 02:07:30;16.02.2022 00:00:35;15.02.2022 22:01:45;15.02.2022 20:03:36
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Chiliz;0,17462841;0,17567448;0,1788836;0,1810866;0,181808;0,18107771;0,17860596;0,1796628;0,17889048;0,1791954;0,17867374;0,18115999;0,18651108;0,18516113;0,19153152;0,19186095;0,19366555;0,19732307;0,19756936;0,20078985;0,19632536;0,19469916;0,19535824;0,18876216;0,18803463;0,18655676;0,19117826;0,19144448;0,19353378;0,1939081;0,19112784;0,19348839;0,19401822;0,1928509;0,1919926;0,19238925
Stacks;1,180222;1,200266;1,21165;1,237205;1,23464;1,23242;1,228576;1,244429;1,232239;1,230757;1,241928;1,25852;1,282154;1,272597;1,297415;1,308423;1,316229;1,326507;1,319188;1,350912;1,366277;1,366588;1,361002;1,337872;1,333928;1,32148;1,357159;1,354892;1,376357;1,366431;1,356249;1,371094;1,380684;1,384051;1,378295;1,389429
BitTorrent;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291;0,0024291
Waves;8,622;8,6603;8,8472;8,9001;8,932;8,8734;8,807;8,9655;8,8785;8,951;9,1251;8,9567;9,2551;9,2448;9,4886;9,3773;9,4331;9,6073;9,5211;9,6921;9,5042;9,348;9,3371;8,9895;9,0278;8,9273;9,2738;9,2379;9,3691;9,3034;9,2299;9,2818;9,137;9,1536;9,1769;9,122
Dash;93,45;95,407;95,861;95,67;96,551;95,06;93,941;93,652;92,232;92,702;92,888;93,712;97,441;96,413;99,25;100,23;101,486;102,864;103,011;103,909;103,027;101,38;99,618;97,623;95,314;94,135;95,076;94,268;94,892;94,905;93,924;94,319;95,259;95,073;95,096;95,236
Celo;2,412565;2,448154;2,510539;2,542262;2,53616;2,55375;2,504711;2,543462;2,524373;2,513493;2,48065;2,543462;2,598651;2,546076;2,620355;2,625651;2,63833;2,672983;2,627787;2,654331;2,661338;2,658426;2,674526;2,626486;2,622982;2,613027;2,67174;2,689549;2,721074;2,731981;2,700144;2,755423;2,766654;2,756649;2,7425;2,763009
Compound;106,361;107,945;110,062;110,578;110,44;109,773;108,59;109,383;109,043;108,98;108,754;110,792;113,597;112,63;115,306;115,61;116,711;118,182;117,006;118,733;119,747;120,126;121,066;116,019;114,739;114,276;117,133;117,629;118,388;119,023;117,359;117,699;119,213;118,759;118,542;117,106
IoTeX;0,07555748;0,07732499;0,07861185;0,07951949;0,0797896;0,08014251;0,0782502;0,07832946;0,0772902;0,07745752;0,07772176;0,07787149;0,0802843;0,0793875;0,08122486;0,08025757;0,08100985;0,08247205;0,08142787;0,08306877;0,08377897;0,08332315;0,08349762;0,08172364;0,08124117;0,08080311;0,08341043;0,08549896;0,08679799;0,08599441;0,08574281;0,08674774;0,08855055;0,08525437;0,08455601;0,08530284
Curve DAO Token;2,508856;2,499588;2,59249;2,610996;2,6136;2,607449;2,5919;2,609514;2,578102;2,589259;2,589845;2,623605;2,735144;2,701185;2,808718;2,789424;2,768791;2,843955;2,811326;2,837267;2,825749;2,813201;2,830145;2,821757;2,713303;2,734522;2,815278;2,763452;2,768535;2,790127;2,755735;2,750129;2,775465;2,756649;2,745142;2,733072
SushiSwap;3,438687;3,433237;3,55388;3,58872;3,57896;3,554651;3,505186;3,517516;3,495014;3,509904;3,510952;3,564193;3,650968;3,614211;3,685397;3,67961;3,704944;3,761388;3,706962;3,770417;3,801661;3,817475;3,854413;3,75941;3,737815;3,717929;3,815192;3,830649;3,860129;3,829707;3,798732;3,844181;3,875078;3,842922;3,836329;3,766779
Synthetix;3,887843;3,972959;4,054401;4,092709;4,09552;4,10748;4,047697;4,061788;4,060488;4,074625;4,0807;4,125199;4,237447;4,212614;4,305938;4,306525;4,318468;4,364198;4,339643;4,329778;4,356436;4,361824;4,381933;4,337308;4,334387;4,29107;4,336567;4,369967;4,430535;4,403238;4,403176;4,419441;4,46189;4,38738;4,376198;4,275708
Nem;0,08991994;0,09110027;0,09234976;0,0934072;0,093456;0,09322377;0,09317806;0,09300192;0,09266016;0,0927693;0,09307942;0,09449911;0,09616152;0,09570918;0,09805428;0,0979116;0,0989043;0,10029194;0,09988768;0,1018461;0,10233888;0,10183452;0,10269056;0,10062624;0,1003086;0,09966128;0,10232572;0,10188084;0,10228068;0,1019317;0,09979944;0,0996999;0,09974052;0,099553;0,09960717;0,0994965
Basic Attention Token;0,663977;0,667598;0,682842;0,690254;0,689656;0,682497;0,677258;0,678227;0,672667;0,679075;0,675838;0,686065;0,703952;0,698342;0,712258;0,712765;0,717717;0,72954;0,72198;0,737197;0,742045;0,738608;0,743452;0,726374;0,724422;0,716734;0,73741;0,739648;0,745835;0,744797;0,739804;0,74819;0,752195;0,749467;0,744192;0,742173
Qtum;6,3642;6,3497;6,4477;6,5068;6,3677;6,347;6,2477;6,3014;6,2546;6,2296;6,2519;6,3014;6,4266;6,3436;6,4941;6,4241;6,5125;6,6353;6,6409;6,9173;6,9527;6,8883;6,8393;6,7773;6,6274;6,5836;6,7428;6,7454;6,6278;6,6128;6,5571;6,6552;6,5792;6,6154;6,5788;6,5263
Icon;0,635976;0,644669;0,658256;0,664425;0,66528;0,664627;0,659644;0,659644;0,653554;0,653702;0,656196;0,663167;0,678062;0,673313;0,686556;0,68767;0,697267;0,708565;0,704155;0,724708;0,720065;0,727264;0,722702;0,711596;0,719758;0,700798;0,71945;0,717917;0,720698;0,718896;0,719156;0,720839;0,730432;0,688942;0,686065;0,684148
Decred;51,5847;51,503;52,167;53,4888;53,856;53,6983;54,075;55,0438;54,4334;54,0053;54,0688;54,8676;56,0062;56,932;58,5333;58,0249;58,5382;59,4945;59,8267;59,9819;59,9614;59,7113;59,9614;59,5489;58,8653;58,5466;59,0883;59,3865;59,5759;59,9961;59,915;60,2611;60,9721;60,4366;60,1518;60,0501
OmiseGO;3,833956;3,836265;3,946014;3,954826;3,93096;3,905891;3,870677;3,895336;3,859666;3,870233;3,870235;3,929683;4,038432;4,014321;4,09117;4,10313;4,135116;4,181769;4,156104;4,277008;4,25357;4,219361;4,235986;4,153471;4,150488;4,129956;4,240089;4,248554;4,28288;4,275493;4,246991;4,281802;4,319152;4,295756;4,26523;4,28011
Horizen;32,8536;33,4102;33,891;34,1024;34,0736;34,0412;33,4842;33,7132;32,6424;32,7908;32,9155;33,2376;34,0704;33,6392;34,407;34,3131;34,4088;34,8329;34,8724;35,6901;35,7659;35,6509;36,0648;35,527;35,7199;35,3657;36,1087;36,5645;37,1423;37,3544;36,8755;37,2419;37,623;37,5306;37,4738;38,1256
Ravencoin;0,05351031;0,05431622;0,05530411;0,05600026;0,0563024;0,05584623;0,05496449;0,05505256;0,05423966;0,05443699;0,05451795;0,05521989;0,0565081;0,05648252;0,05783794;0,05784885;0,05802691;0,05885108;0,05834429;0,05953336;0,0596713;0,05954417;0,06008453;0,05899477;0,0589621;0,05825607;0,05977311;0,06007274;0,06056879;0,06083305;0,0600385;0,06055225;0,06083996;0,06089472;0,0607683;0,06068406
Zilliqa;0,0404993;0,04103481;0,04139878;0,04177769;0,041888;0,04160298;0,04123437;0,04150739;0,04114217;0,04139819;0,04127372;0,04176279;0,04291164;0,04278712;0,0439924;0,04381368;0,04406237;0,04468698;0,04422589;0,04508317;0,0451645;0,04493734;0,04497108;0,0442087;0,0439862;0,0435798;0,04452314;0,04482581;0,04517397;0,04546841;0,04423471;0,04477673;0,04488323;0,04474599;0,04454581;0,04448286
Yearn Finance;19432,71;19691,89;20030,93;20108,65;20190,54;20220,95;20018,31;19964,53;19811,62;19841,3;19750,92;19865,26;20385,19;20352,27;20588,43;20625,69;20729,93;21023,6;20685,44;20817,19;20920,54;21026,14;21144,94;20603,1;20559,63;20419,57;20884,58;20999,15;21116,79;21113,47;20923,79;21015,05;21200,05;21388,35;21423,23;21124,57
Ankr;0,06341211;0,06450217;0,06534098;0,06631911;0,0662552;0,06616335;0,06528629;0,0656738;0,06514397;0,06505304;0,06490615;0,06595562;0,06768292;0,06779841;0,07003751;0,06955069;0,0698765;0,07102397;0,07061847;0,07180238;0,07212078;0,07178542;0,0719889;0,07068466;0,07023362;0,07007104;0,07171606;0,0716949;0,07282565;0,07328158;0,07201266;0,07293092;0,07320179;0,07072668;0,06968979;0,06935698
Audius;0,834813;0,853776;0,875913;0,887368;0,8844;0,875898;0,858683;0,859563;0,85878;0,870428;0,872873;0,89391;0,921988;0,910383;0,946215;0,937732;0,957418;0,972184;0,960934;0,970088;0,984704;0,98141;1,00053;0,985152;0,977569;0,937626;0,979227;0,973939;0,979974;0,959409;0,924755;0,944061;0,959518;0,955004;0,935303;0,921883
Siacoin;0,00852385;0,00862498;0,00877675;0,00887368;0,0088704;0,0088118;0,00872774;0,00874535;0,00871111;0,00873952;0,00875316;0,00887746;0,00902615;0,00895401;0,00919809;0,009166;0,00924693;0,00936822;0,00930932;0,0094986;0,00952174;0,00949752;0,0095569;0,00935894;0,00933574;0,00928822;0,00951048;0,00953703;0,00958001;0,00959409;0,00947698;0,00957295;0,0096921;0,0096029;0,00954679;0,00953581
IOST;0,0216433;0,0218295;0,02203;0,02212693;0,0220528;0,02178742;0,02162119;0,02171806;0,0215796;0,0216726;0,02172934;0,02202631;0,02251694;0,02239383;0,02299963;0,0230779;0,02332714;0,02368322;0,0235689;0,02402794;0,02403733;0,0238933;0,02397578;0,02354689;0,02351705;0,02335701;0,02393743;0,02394816;0,02413459;0,02412178;0,02393069;0,02430737;0,0244329;0,0240513;0,02406072;0,0239496
UMA;5,2071;5,1917;5,3128;5,3454;5,3566;5,3047;5,2772;5,3679;5,335;5,3115;5,399;5,4841;5,6218;5,5284;5,6764;5,5419;5,6134;5,8034;5,6535;5,5813;5,8282;5,6915;5,5706;5,5081;5,4668;5,4409;5,5414;5,5181;5,5833;5,5653;5,4956;5,5258;5,5694;5,6049;5,6013;5,4855
Bancor Network Token;2,124577;2,13885;2,160702;2,183614;2,1956;2,193708;2,174448;2,182375;2,16853;2,173427;2,174201;2,194704;2,243769;2,234977;2,29028;2,282256;2,306266;2,339236;2,326006;2,358819;2,356256;2,355033;2,364169;2,315987;2,316777;2,303126;2,361769;2,364902;2,386214;2,382224;2,35689;2,380445;2,393068;2,371652;2,354111;2,357099
0xProject;0,529245;0,534167;0,54185;0,545815;0,547448;0,55855;0,552287;0,55669;0,552702;0,549039;0,544651;0,549469;0,559621;0,557687;0,567905;0,567658;0,569361;0,576899;0,576913;0,586802;0,592581;0,601158;0,601988;0,593378;0,592437;0,582561;0,601714;0,597648;0,592379;0,578641;0,558559;0,56026;0,560908;0,559347;0,558364;0,561055
Ontology;0,49885598;0,511648;0,4939126;0,49505816;0,4884;0,49023907;0,47830817;0,48253553;0,47897904;0,4789116;0,47792208;0,48579412;0,49384048;0,49114849;0,50057;0,501445;0,504804;0,5113;0,508615;0,520664;0,524619;0,51225;0,511343;0,500844;0,501279;0,502444;0,516883;0,518202;0,519869;0,518028;0,512763;0,518616;0,51421;0,510187;0,507547;0,502325
Perpetual Protocol;5,1231;5,309;5,3841;5,3577;5,368;5,3522;5,337;5,3458;5,2936;5,1979;5,222;5,2754;5,4333;5,3495;5,4748;5,4943;5,5364;5,5881;5,5679;5,6376;5,6445;5,6457;5,662;5,6031;5,5874;5,4497;5,5302;5,5515;5,6149;5,5943;5,5679;5,585;5,6302;5,6296;5,6365;5,6528
SKALE;0,1245594;0,12822826;0,13068196;0,13200376;0,133408;0,13362954;0,13228114;0,132105;0,13229616;0,1377884;0,1378139;0,13756534;0,14212884;0,13765906;0,14188824;0,14096805;0,13954145;0,13792345;0,13333064;0,13517915;0,13733104;0,1380658;0,13882568;0,1358982;0,13663294;0,13478924;0,13800569;0,13804062;0,13944969;0,1399909;0,13844856;0,14196207;0,14344308;0,1402552;0,14038358;0,13991145
WINkLink;0,0002687;0,00026995;0,00027194;0,00027344;0,00027403;0,0002714;0,00026958;0,00027108;0,00027005;0,00027011;0,00027093;0,00027355;0,00027853;0,00027602;0,00028422;0,00028379;0,00028622;0,00029065;0,00028872;0,00029182;0,00029022;0,00029073;0,00029233;0,00028798;0,00028518;0,00028375;0,0002906;0,00028937;0,00029188;0,00028906;0,00028625;0,00028834;0,00029288;0,00029188;0,00029028;0,00029065
Serum;1,900193;1,930698;1,955383;1,97565;1,9756;1,970111;1,948989;1,953393;1,954495;1,958463;1,961096;1,977172;2,022738;2,017296;2,06847;2,065653;2,082339;2,110953;2,096582;2,140703;2,149644;2,143098;2,161074;2,112799;2,099203;2,083026;2,141619;2,15375;2,16561;2,165498;2,128349;2,157224;2,162219;2,135544;2,120726;2,120244
Ren;0,28221435;0,29217347;0,29890304;0,30115998;0,299992;0,29780549;0,29494643;0,29661976;0,29533224;0,2971613;0,29685026;0,30040677;0,30662492;0,30431289;0,3137913;0,31565925;0,31778075;0,3234371;0,31960528;0,3259427;0,33040336;0,32942324;0,33207384;0,32175768;0,31755591;0,31500712;0,32312883;0,32455822;0,32624768;0,3257938;0,3238408;0,32812737;0,33287958;0,3311679;0,3302625;0,33027555
DigiByte;0,01897543;0,0194922;0,01979175;0,01996799;0,019976;0,01975393;0,0194987;0,01957796;0,01943926;0,01933795;0,01951853;0,01966603;0,02024499;0,02004958;0,02071111;0,0206037;0,02081458;0,02104783;0,02085111;0,0212927;0,02139973;0,02142218;0,02145248;0,02106642;0,02096802;0,02085668;0,02149789;0,02144073;0,02170004;0,02161974;0,02123054;0,02145754;0,02167506;0,02174308;0,02172687;0,02174835
Celer Network;0,04088375;0,04116294;0,04264127;0,04281751;0,042944;0,04250088;0,04216792;0,04222076;0,04179396;0,04200608;0,04180208;0,04241451;0,04361612;0,04312201;0,04431807;0,04396336;0,04445909;0,04506598;0,04448178;0,04547015;0,04567444;0,04560568;0,04581511;0,04503552;0,04502448;0,04457465;0,04591448;0,04607513;0,04677506;0,0466049;0,04604363;0,04691189;0,04713885;0,04718636;0,0464305;0,04626147
