;05.02.2022 13:00:00;05.02.2022 10:59:33;05.02.2022 09:00:34;05.02.2022 07:01:32;05.02.2022 05:02:34;05.02.2022 03:03:30;05.02.2022 01:04:20;04.02.2022 23:05:01;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 21:01:07;03.02.2022 19:02:05;03.02.2022 17:02:40;03.02.2022 15:03:40;03.02.2022 13:04:41;03.02.2022 11:05:53;03.02.2022 08:58:48;03.02.2022 06:59:59;03.02.2022 05:00:47;03.02.2022 03:01:44;03.02.2022 01:02:43;02.02.2022 22:59:15;02.02.2022 21:00:11;02.02.2022 19:01:21;02.02.2022 17:02:34;02.02.2022 15:03:42;02.02.2022 13:04:47;02.02.2022 11:05:54;02.02.2022 08:59:06;02.02.2022 07:00:14;02.02.2022 05:09:19;02.02.2022 03:02:34;02.02.2022 01:03:37;01.02.2022 23:04:24;01.02.2022 21:05:29;01.02.2022 18:58:39;01.02.2022 16:59:49;01.02.2022 15:00:03;01.02.2022 13:00:13;01.02.2022 11:00:54;01.02.2022 09:01:45;01.02.2022 07:03:01;01.02.2022 05:04:19;01.02.2022 03:05:36;01.02.2022 00:58:47
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Elrond;141;138,943;136,686;139,061;137,471;133,989;133,794;131,05;130,31425;129,5785;128,84275;128,107;127,37125;126,6355;125,89975;125,164;124,42825;123,6925;122,95675;122,221;120,968;123,186;124,087;124,327;125,255;123,252;124,966;125,372;123,475;122,756;125,374;125,773;133,456;132,01;130,266;136,263;136,841;136,377;135,439;133,188;132,037;135,105;134,124;138,006;136,251;136,888;136,895;133,35;132,179;129,948;131,987;131,417;132,034;130,658;130,306
Cosmos;27,3288;27,3406;27,325;27,9013;27,4698;26,9953;27,0822;26,9017;26,79980833;26,69791667;26,596025;26,49413333;26,39224167;26,29035;26,18845833;26,08656667;25,984675;25,88278333;25,78089167;25,679;25,0305;24,9347;23,7053;23,4391;23,431;23,4408;23,6323;23,463;22,9308;22,8643;23,2965;23,4151;24,5079;24,3519;24,1019;25,1545;25,2259;25,0883;24,9859;25,1247;25,015;25,4443;25,681;25,8673;25,665;25,7595;25,7217;25,8285;25,814;25,7812;25,9768;26,2015;25,7619;25,4045;25,0666
Dai;0,87432;0,87432;0,87378;0,87341;0,87336;0,87366;0,87336;0,87348;0,873586667;0,873693333;0,8738;0,873906667;0,874013333;0,87412;0,874226667;0,874333333;0,87444;0,874546667;0,874653333;0,87476;0,87515;0,87456;0,87654;0,88066;0,88671;0,88662;0,88666;0,88612;0,88519;0,88643;0,88511;0,88636;0,88491;0,88475;0,88576;0,88472;0,88418;0,88577;0,8871;0,88748;0,88738;0,88726;0,88729;0,8877;0,8891;0,88957;0,88882;0,88828;0,88773;0,88837;0,88807;0,88991;0,89034;0,89131;0,89061
Vechain;0,05240052;0,05254649;0,05226289;0,05299668;0,05190686;0,05077354;0,05100954;0,05008894;0,049707893;0,049326845;0,048945798;0,04856475;0,048183703;0,047802655;0,047421608;0,04704056;0,046659513;0,046278465;0,045897418;0,04551637;0,04490439;0,04521483;0,04556892;0,04538843;0,0457529;0,0457463;0,04636872;0,04627894;0,04572869;0,04585273;0,04608817;0,04617413;0,04751942;0,04690675;0,04730888;0,0490788;0,04956738;0,04961834;0,04824106;0,04817203;0,04813848;0,04824305;0,0484848;0,04873214;0,04855437;0,04865287;0,04882937;0,0488129;0,04836794;0,04793648;0,04842668;0,04790704;0,04855751;0,04779512;0,0478788
Axie Infinity;48,7001;47,5333;46,6755;47,2276;46,2171;45,5109;44,8748;44,0496;43,82953333;43,60946667;43,3894;43,16933333;42,94926667;42,7292;42,50913333;42,28906667;42,069;41,84893333;41,62886667;41,4088;41,4374;40,9716;41,1138;41,2718;41,654;42,8816;43,326;42,9993;42,6376;42,651;43,4564;43,3813;44,633;44,2689;44,6772;46,843;47,1615;47,3142;46,2262;46,8936;47,0374;46,5829;47,4192;47,6129;46,9709;47,6471;47,4246;48,5305;46,9644;47,0317;46,8684;47,2304;47,4707;46,8463;46,5243
Stellar;0,186808;0,186109;0,185608;0,187156;0,186175;0,184701;0,182175;0,18068;0,179729833;0,178779667;0,1778295;0,176879333;0,175929167;0,174979;0,174028833;0,173078667;0,1721285;0,171178333;0,170228167;0,169278;0,166445;0,167229;0,169562;0,168851;0,170933;0,167667;0,172455;0,171649;0,169642;0,169612;0,171063;0,170852;0,175895;0,174953;0,176545;0,179834;0,180081;0,179312;0,177597;0,179187;0,180152;0,179848;0,179541;0,182088;0,180732;0,1808;0,181011;0,181399;0,180167;0,178588;0,180023;0,181253;0,181057;0,179196;0,178
Internet Computer;19,9454;19,7115;19,6303;19,8683;19,8311;19,2674;19,3656;18,9811;18,91085833;18,84061667;18,770375;18,70013333;18,62989167;18,55965;18,48940833;18,41916667;18,348925;18,27868333;18,20844167;18,1382;17,7114;17,9092;18,1013;18,0443;18,1344;18,3145;18,5936;18,774;18,7503;19,2546;19,0935;19,0619;19,2752;19,2797;18,9271;19,1603;19,1317;18,2823;18,036;17,9691;18,1152;17,7915;17,9198;17,8548;17,625;17,9088;17,7909;17,9222;17,6949;17,7158;18,001;17,8772;18,11;17,8538;17,6705
Tron;0,05727316;0,05716597;0,05667861;0,0566679;0,05623316;0,05568654;0,0562879;0,05575482;0,055442434;0,055130048;0,054817663;0,054505277;0,054192891;0,053880505;0,053568119;0,053255733;0,052943348;0,052630962;0,052318576;0,05200619;0,05171578;0,05180283;0,05193594;0,05192035;0,05230044;0,05226502;0,05256955;0,05235078;0,05205259;0,05206103;0,05178989;0,05238919;0,05338077;0,05315626;0,05315714;0,0540204;0,05405179;0,05410251;0,05355778;0,05346332;0,05328;0,05312595;0,05320008;0,0533513;0,05307354;0,05321018;0,05292804;0,05317109;0,0529338;0,05257843;0,0527769;0,05297285;0,05319858;0,05291941;0,05269965
Filecoin;19,2019;19,2828;19,263;19,4575;19,0882;18,7428;18,8675;18,6686;18,594475;18,52035;18,446225;18,3721;18,297975;18,22385;18,149725;18,0756;18,001475;17,92735;17,853225;17,7791;17,5625;17,743;17,9171;17,727;17,7884;17,7203;17,9283;17,923;17,7494;17,7557;17,8577;17,8561;18,4783;18,2971;18,4132;18,7001;18,7426;18,7786;18,3911;18,3419;18,1951;18,1821;18,577;18,6099;18,4236;18,6565;18,6026;18,7401;18,6543;18,578;18,8629;18,812;19,1166;18,9775;18,9715
Theta Network;2,924456;2,865298;2,889892;2,932606;2,953246;2,849018;2,667143;2,601898;2,587387583;2,572877167;2,55836675;2,543856333;2,529345917;2,5148355;2,500325083;2,485814667;2,47130425;2,456793833;2,442283417;2,427773;2,389239;2,44972;2,461739;2,431177;2,451334;2,411481;2,454606;2,442032;2,40999;2,410594;2,436286;2,43815;2,504797;2,482101;2,481966;2,57712;2,596007;2,582387;2,542974;2,564854;2,571648;2,561303;2,595624;2,604496;2,586957;2,613334;2,612176;2,615438;2,580512;2,574254;2,584646;2,594334;2,610935;2,569276;2,62429
